,Aspen,longitude,lattitude
861,1,-105.3240507,36.3454495
10695,1,-105.6237063,36.17424522
10693,1,-106.5027117,36.68606943
2587,1,-106.7284421,41.03602137
17302,1,-106.357573,39.673656
12765,1,-107.6764598,37.26918082
18642,1,-107.103952,40.64785044
20814,1,-107.4797271,39.78527098
21028,1,-108.0954277,38.10464532
7616,1,-106.4362941,40.40351759
14303,1,-107.6230291,39.78015914
827,1,-105.5993299,38.2428734
20235,1,-104.9213765,37.30882239
7673,1,-105.874506,42.48080276
15791,1,-105.6700958,40.71917114
15253,1,-105.4899963,39.78518473
6314,1,-105.5394218,38.8283539
12537,1,-107.4923498,37.32208185
5069,1,-107.1106271,39.51358674
17657,1,-104.9982772,37.95000259
16251,1,-106.5661579,40.82807656
16289,1,-105.2388332,36.87356702
21038,1,-107.142313,41.11917827
6033,1,-106.701023,40.04827634
3991,1,-105.6548361,39.76012659
4186,1,-108.2289546,38.38300032
1507,1,-104.8401913,38.93928126
8230,1,-106.9072582,37.26551389
19439,1,-105.2578868,36.34669247
2062,1,-105.5224038,39.84777816
16774,1,-108.2058081,37.40247283
12861,1,-108.381641,37.72382608
15757,1,-107.2209618,41.41469395
337,1,-105.2815967,39.97035411
8824,1,-106.0630732,42.58860729
19838,1,-105.4677609,39.62079321
9802,1,-106.7562034,40.89945104
19122,1,-108.7262291,38.74940876
3357,1,-107.429628,40.93669083
20849,1,-104.5737384,37.05168835
12495,1,-105.0820284,38.68422353
11368,1,-105.4071901,37.47139907
1941,1,-106.4507417,37.13896625
6778,1,-106.7557332,36.28707593
1463,1,-105.860847,40.85018258
12917,1,-107.4308316,39.3416733
20990,1,-106.5689708,40.0024547
19425,1,-106.3037377,37.15551912
11808,1,-106.481848,38.62868206
12976,1,-106.2600772,40.46885718
967,1,-106.8157976,38.79067413
15136,1,-105.1033398,37.99921022
968,1,-107.2281174,39.41277198
15598,1,-106.9402439,37.77612468
21285,1,-107.8635963,38.96122739
3933,1,-107.4959445,37.94653722
9453,1,-106.4021052,36.57113934
18147,1,-105.7391877,39.66511676
17872,1,-105.0517232,37.22345915
